Name,University,Course,Year,Season,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,Undergrad_score_Metric,work_ex (Months)
AsthaSh,Arizona State University,Management Information System,2018,Fall,Admit,310,TOEFL,110,7.49,CGPA,0
Palaaaa,Arizona State University,Management Information System,2018,Fall,Admit,310,TOEFL,101,0.66,%,22
RushilAnand,Arizona State University,Management Information System,2018,Fall,Admit,306,TOEFL,103,0.63,%,27
apurvakharate,Arizona State University,Management Information System,2018,Fall,Admit,305,TOEFL,91,0.64,%,15
Nidhiss,Arizona State University,Management Information System,2018,Fall,Admit,299,TOEFL,88,0.83,%,30
bulbul007,Arizona State University,Management Information System,2018,Fall,Admit,314,TOEFL,91,7.93,CGPA,16
Abirami,Arizona State University,Management Information System,2018,Fall,Admit,305,IELTS,7.5,8.2,CGPA,31
hanamana,Arizona State University,Management Information System,2018,Fall,Admit,318,TOEFL,111,6.68,CGPA,6
shubhm,Arizona State University,Management Information System,2018,Fall,Reject,307,TOEFL,0,0.74,%,15
Disha0701,Arizona State University,Management Information System,2018,Fall,Reject,308,TOEFL,84,0.69,%,43
Rajpatil7,Arizona State University,Management Information System,2018,Fall,Reject,301,TOEFL,91,6.3,CGPA,21
Rushikesh420,Arizona State University,Management Information System,2018,Fall,Reject,298,TOEFL,0,0.57,%,6
Rohan14,Arizona State University,Management Information System,2018,Fall,Reject,310,TOEFL,96,0.69,%,41
mragank,Arizona State University,Management Information System,2018,Fall,Reject,312,TOEFL,105,7.55,CGPA,27
Dipti92,Arizona State University,Management Information System,2018,Fall,Reject,301,TOEFL,88,8.6,CGPA,55
TrishaShekarC,Arizona State University,Management Information System,2018,Fall,Reject,303,TOEFL,90,0.67,%,14
Dishasuyogi,Arizona State University,Management Information System,2018,Fall,Reject,308,TOEFL,84,0.69,%,43
kappainho,Arizona State University,Management Information System,2018,Fall,Reject,305,TOEFL,98,0.54,%,18
Setu04,Arizona State University,Management Information System,2018,Fall,Reject,308,TOEFL,102,7.09,CGPA,0
somguria,Arizona State University,Management Information System,2018,Fall,Reject,302,IELTS,7,8.4,CGPA,41
ALI52,Arizona State University,Management Information System,2018,Fall,Reject,309,TOEFL,0,6.03,CGPA,28
acegohan,Arizona State University,Management Information System,2018,Fall,Reject,303,TOEFL,89,0.65,%,15
ThePanda1295,Arizona State University,Management Information System,2017,Fall,Reject,316,TOEFL,107,7.16,CGPA,6
Tahemin,Arizona State University,Management Information System,2017,Fall,Reject,302,TOEFL,92,0.71,%,35
anmolhanda,Arizona State University,Management Information System,2017,Fall,Reject,311,TOEFL,101,0.82,%,18
nirali8007,Arizona State University,Management Information System,2017,Fall,Reject,308,TOEFL,86,8.1,CGPA,14
aw9,Arizona State University,Management Information System,2017,Fall,Reject,299,TOEFL,97,0.59,%,12
pav1993,Arizona State University,Management Information System,2019,Fall,Interested,310,TOEFL,0,8.98,CGPA,35
RJay,Arizona State University,Management Information System,2019,Fall,Interested,320,IELTS,6.5,7.77,CGPA,9
kratikasainferno,Arizona State University,Management Information System,2019,Spring,Interested,306,TOEFL,102,0.65,%,26
ManeeshMettu,Arizona State University,Management Information System,2019,Fall,Interested,315,TOEFL,112,8.3,CGPA,12
Urvish1808,Boston University,Management Information System,2017,Fall,Applied, ,TOEFL,92,7.6,CGPA,0
kuhubh6354,Boston University,Management Information System,2016,Fall,Applied,313,TOEFL,101,0.73,%,30
a1hooman,Boston University,Management Information System,2017,Fall,Applied,305,TOEFL,91,5.93,CGPA,0
sahilgupta,Boston University,Management Information System,2016,Fall,Applied,336,TOEFL,107,6,CGPA,30
meet786,Boston University,Management Information System,2016,Spring,Applied,325,TOEFL,99,5,CGPA,0
nidhigupta,Boston University,Management Information System,2016,Fall,Applied,305,TOEFL,103,0.81,%,0
dhakad,Boston University,Management Information System,2016,Spring,Applied,307,TOEFL,80,0.81,%,0
malhota,Boston University,Management Information System,2016,Fall,Applied,299,IELTS,7.5,0.78,%,0
kuhubh635,Boston University,Management Information System,2016,Fall,Applied,313,TOEFL,101,0.74,%,0
shubhamvijan,Boston University,Management Information System,2016,Fall,Applied,301,IELTS,7,6.35,CGPA,10
AdityaShri1995,Boston University,Management Information System,2018,Fall,Admit,296,TOEFL,90,5.67,CGPA,8
ishanwagle,Boston University,Management Information System,2018,Fall,Admit,316,TOEFL,106,6.75,CGPA,5
charchil10,Boston University,Management Information System,2017,Fall,Admit,310,TOEFL,112,0.72,%,22
apurvahg,Boston University,Management Information System,2016,Fall,Admit,310,TOEFL,97,0.56,%,82
kekarthik1994,Boston University,Management Information System,2016,Fall,Admit,300,TOEFL,97,6.09,CGPA,6
Tanisha,Boston University,Management Information System,2016,Spring,Admit,315,TOEFL,99,0.73,%,26
nktchaudhari21,Boston University,Management Information System,2015,Fall,Admit,298,TOEFL,88,0.53,%,20
vaishakh-sasalatti,Boston University,Management Information System,2015,Fall,Admit,309,TOEFL,108,7.5,CGPA,10
sandeepyadav599,Boston University,Management Information System,2020,Fall,Interested,310,TOEFL,92,5.5,CGPA,0
diviraj,Boston University,Management Information System,2019,Spring,Interested,303,TOEFL,103,9,CGPA,2
priyabalaji,Boston University,Management Information System,2019,Fall,Interested, ,IELTS,7.5,7.35,CGPA,0
Apoorva171996,Boston University,Management Information System,2019,Spring,Interested,302,TOEFL,100,0.71,%,0
sisirchinferno,Boston University,Management Information System,2019,Spring,Interested,308,TOEFL,100,6.47,CGPA,38
annahita77,Boston University,Management Information System,2019,Spring,Interested,287,TOEFL,87,8.8,CGPA,18
AsthaSh,Boston University,Management Information System,2018,Fall,Interested,310,TOEFL,110,7.49,CGPA,0
Pareen,Boston University,Management Information System,2018,Fall,Interested,296,TOEFL,100,0.67,%,41
sudhir rai,Boston University,Management Information System,2018,Fall,Interested,306,IELTS,7,0.72,%,48
Jawaan,Boston University,Management Information System,2018,Fall,Interested,297,TOEFL,84,0.78,%,44
Divij Kishore,Boston University,Management Information System,2019,Spring,Interested,290,TOEFL,91,7.3,CGPA,48
Shubhi20,University of Delaware,Management Information System,2018,Fall,Applied,309,IELTS,7.5,9.24,CGPA,40
vinay0028,University of Delaware,Management Information System,2016,Fall,Applied,305,IELTS,7,0.51,%,54
kanchi ,University of Delaware,Management Information System,2016,Fall,Applied,306,TOEFL,94,6.6,CGPA,0
malagb01,University of Delaware,Management Information System,2016,Fall,Applied,311,IELTS,7.5,0.69,%,48
ayushivarma,University of Delaware,Management Information System,2016,Fall,Applied,300,TOEFL,99,7.46,CGPA,0
shikha28,University of Delaware,Management Information System,2016,Fall,Applied,304,TOEFL,90,6,CGPA,30
exiee,University of Delaware,Management Information System,2016,Fall,Applied,304,TOEFL,90,6,CGPA,30
ganeshn,University of Delaware,Management Information System,2017,Fall,Applied,296,IELTS,6,0.71,%,30
muralidhar_mutnuru,University of Delaware,Management Information System,2016,Fall,Applied,308,TOEFL,112,8,CGPA,30
ankitbhangdia,University of Delaware,Management Information System,2015,Fall,Applied,300,TOEFL,0,0.54,%,30
rohan1234,University of Delaware,Management Information System,2018,Fall,Admit,295,IELTS,7.5,7.51,CGPA,32
Shreya0110,University of Delaware,Management Information System,2018,Spring,Admit,303,TOEFL,93,0.64,%,2
Ayush3195,University of Delaware,Management Information System,2017,Fall,Admit,310,IELTS,7.5,6.47,CGPA,0
Divyaa,University of Delaware,Management Information System,2017,Fall,Admit,313,TOEFL,108,6.47,CGPA,12
apurv1595,University of Delaware,Management Information System,2017,Fall,Admit,303,TOEFL,108,7.7,CGPA,2
sanhith,University of Delaware,Management Information System,2017,Spring,Admit,300,IELTS,6.5,7.4,CGPA,16
Adi8081234,University of Delaware,Management Information System,2017,Fall,Reject,306,TOEFL,92,6.75,CGPA,1
navhar,University of Delaware,Management Information System,2017,Spring,Reject,305,TOEFL,93,7.2,CGPA,25
vatsalajmera,University of Delaware,Management Information System,2016,Fall,Reject,312,TOEFL,101,0.75,%,0
jituparwani,University of Delaware,Management Information System,2016,Fall,Reject,283,TOEFL,98,0.68,%,0
Arpi99,University of Delaware,Management Information System,2019,Spring,Interested,281,IELTS,6.5,0.74,%,60
SatyaV,University of Delaware,Management Information System,2019,Spring,Interested, ,IELTS,7,6.5,CGPA,22
Ram1199,University of Delaware,Management Information System,2019,Spring,Interested,305,IELTS,7,0.62,%,8
Sudhakar17,University of Delaware,Management Information System,2019,Spring,Interested,331,IELTS,7,0.65,%,15
AbhaAshapure,University of Delaware,Management Information System,2018,Fall,Interested,300,TOEFL,83,0.68,%,12
rohinik,University of Delaware,Management Information System,2019,Fall,Interested,296,TOEFL,100,8.05,CGPA,48
Ankit712arf,University of Delaware,Management Information System,2019,Spring,Interested,302,TOEFL,99,0.68,%,53
skondepudi,University of Delaware,Management Information System,2018,Fall,Interested,297,IELTS,7,6.87,CGPA,32
Jagrutp,University of Delaware,Management Information System,2018,Spring,Interested, ,IELTS,6.5,0.6,%,38
vismita,University of Delaware,Management Information System,2018,Fall,Interested,302,TOEFL,98,0.65,%,29
vivek s,University of Delaware,Management Information System,2018,Fall,Interested,304,TOEFL,99,0.76,%,38
Aarushi7,University of Delaware,Management Information System,2018,Fall,Interested,309,IELTS,7,0.71,%,36
manusharma25,University of Arizona,Management Information System,2018,Fall,Applied,312,TOEFL,100,0.67,%,60
sayalisurya6723,University of Arizona,Management Information System,2018,Fall,Applied,312,TOEFL,102,0.65,%,20
Aakash6993,University of Arizona,Management Information System,2018,Fall,Applied,318,TOEFL,102,0.67,%,32
shreyadumbre,University of Arizona,Management Information System,2018,Fall,Applied,311,TOEFL,106,0.68,%,19
Tanya13,University of Arizona,Management Information System,2018,Fall,Applied,315,TOEFL,112,8.24,CGPA,1
adipareshshah,University of Arizona,Management Information System,2018,Fall,Applied, ,TOEFL,113,0.74,%,60
chaitali922,University of Arizona,Management Information System,2018,Fall,Applied,308,TOEFL,101,7.79,CGPA,16
Radhika26,University of Arizona,Management Information System,2018,Fall,Applied,308,TOEFL,93,7.8,CGPA,26
Anand31,University of Arizona,Management Information System,2018,Fall,Applied,314,TOEFL,0,0.63,%,40
abhijay22,University of Arizona,Management Information System,2018,Fall,Applied,319,TOEFL,101,6.57,CGPA,15
Kokil57,University of Arizona,Management Information System,2018,Fall,Applied,322,TOEFL,110,5.66,CGPA,6
shreyadumbre 23,University of Arizona,Management Information System,2018,Fall,Applied,311,TOEFL,106,0.68,%,19
Abhinavsharma071994,University of Arizona,Management Information System,2018,Fall,Applied,319,TOEFL,114,6.71,CGPA,14
Shubhra09,University of Arizona,Management Information System,2018,Fall,Applied,320,TOEFL,96,8.46,CGPA,42
Kunal-Indore,University of Arizona,Management Information System,2018,Fall,Applied,318,TOEFL,109,0.69,%,30
sukritibharti,University of Arizona,Management Information System,2018,Fall,Applied,308,TOEFL,108,8.65,CGPA,36
Shivapriyak,University of Arizona,Management Information System,2018,Fall,Applied,317,TOEFL,103,0.79,%,60
Keya2008,University of Arizona,Management Information System,2017,Fall,Applied,321,TOEFL,117,0.87,%,30
Amodoi,University of Arizona,Management Information System,2018,Fall,Applied,307,TOEFL,99,0.67,%,16
Apu0929,University of Arizona,Management Information System,2018,Fall,Admit,326,TOEFL,115,9.38,CGPA,1
pavithra25,University of Arizona,Management Information System,2018,Fall,Admit,308,TOEFL,105,0.85,%,60
JaySomaiya,University of Arizona,Management Information System,2018,Fall,Admit,317,TOEFL,110,6.93,CGPA,25
bostonner,University of Arizona,Management Information System,2018,Fall,Admit,315,TOEFL,104,0.77,%,3
KrithikaCT,University of Arizona,Management Information System,2018,Fall,Admit,301,TOEFL,0,0.8,%,60
tarunreddy7,University of Arizona,Management Information System,2018,Fall,Admit,315,TOEFL,104,6.97,CGPA,18
AnujC,University of Arizona,Management Information System,2018,Fall,Admit,325,TOEFL,115,9.12,CGPA,4
theharishkm,University of Arizona,Management Information System,2018,Fall,Admit, ,TOEFL,104,8.15,CGPA,33
AbhinavSharma0794,University of Arizona,Management Information System,2018,Fall,Admit,319,TOEFL,114,6.71,CGPA,14
YamunaBS,University of Arizona,Management Information System,2018,Fall,Admit,309,TOEFL,108,8.57,CGPA,37
Shreepriya,University of Arizona,Management Information System,2018,Fall,Admit,312,TOEFL,110,8.6,CGPA,24
KoSanjana,University of Arizona,Management Information System,2018,Fall,Admit,305,TOEFL,109,0.86,%,25
tushardobhal,University of Arizona,Management Information System,2018,Fall,Admit,325,TOEFL,115,9.55,CGPA,26
snigdha08,University of Arizona,Management Information System,2018,Fall,Admit,324,TOEFL,0,8.57,CGPA,23
Ankeet1406,University of Arizona,Management Information System,2018,Fall,Admit,326,TOEFL,111,0.6,%,42
Samra ,University of Arizona,Management Information System,2018,Fall,Admit,316,TOEFL,112,8.48,CGPA,21
Chk1919,University of Arizona,Management Information System,2018,Fall,Admit,319,IELTS,0,0.73,%,0
khyati20,University of Arizona,Management Information System,2018,Fall,Admit,313,TOEFL,101,0.68,%,42
AnkitaGosain,University of Arizona,Management Information System,2018,Fall,Admit,313,TOEFL,107,8.96,CGPA,0
anshul0414,University of Arizona,Management Information System,2018,Fall,Admit,316,TOEFL,103,0.81,%,13
ChauhanSaloni,University of Arizona,Management Information System,2018,Fall,Reject,306,TOEFL,98,10,CGPA,0
Skywalker95,University of Arizona,Management Information System,2018,Fall,Reject,317,TOEFL,101,0.67,%,18
Disha0701,University of Arizona,Management Information System,2018,Fall,Reject,308,TOEFL,84,0.69,%,43
dl4android,University of Arizona,Management Information System,2018,Fall,Reject,329,TOEFL,115,0.66,%,0
addy14,University of Arizona,Management Information System,2018,Fall,Reject,314,TOEFL,111,7.15,CGPA,3
Papansupratik,University of Arizona,Management Information System,2018,Fall,Reject,307,IELTS,0,7.61,CGPA,0
MohitS,University of Arizona,Management Information System,2018,Fall,Reject,311,TOEFL,110,0.66,%,50
Raksha-Wath,University of Arizona,Management Information System,2018,Fall,Reject,311,TOEFL,101,0.72,%,24
shreyank96,University of Arizona,Management Information System,2018,Fall,Reject,325,TOEFL,116,8.48,CGPA,2
kenil,University of Arizona,Management Information System,2018,Fall,Reject,323,TOEFL,110,8.55,CGPA,0
Aashay Kedar,University of Arizona,Management Information System,2018,Fall,Reject,313,TOEFL,104,7.2,CGPA,19
lamps1995,University of Arizona,Management Information System,2019,Spring,Reject, ,TOEFL,106,0.69,%,12
preranaS,University of Arizona,Management Information System,2018,Fall,Reject,298,TOEFL,0,7.12,CGPA,1
Chowry000,University of Arizona,Management Information System,2018,Fall,Reject,316,TOEFL,102,7.76,CGPA,54
Anuja1011,University of Arizona,Management Information System,2018,Fall,Reject,309,TOEFL,103,0.74,%,13
abhishek-karuna,University of Arizona,Management Information System,2018,Fall,Reject,313,TOEFL,97,7,CGPA,23
sankalp2610,University of Arizona,Management Information System,2018,Fall,Reject,306,TOEFL,99,0.74,%,0
Pranay9,University of Arizona,Management Information System,2018,Fall,Reject,315,IELTS,7.5,0.66,%,30
rajsoni,University of Arizona,Management Information System,2018,Fall,Reject,293,TOEFL,101,8.72,CGPA,20
Devash,University of Arizona,Management Information System,2018,Fall,Reject,305,TOEFL,100,9,CGPA,43
pranay1996,University of Arizona,Management Information System,2019,Fall,Interested,310,TOEFL,99,6.48,CGPA,12
Orpheus4256,University of Arizona,Management Information System,2019,Fall,Interested,310,TOEFL,106,7.92,CGPA,35
priyabalaji,University of Arizona,Management Information System,2019,Fall,Interested, ,IELTS,7.5,7.35,CGPA,0
Sujesh,University of Arizona,Management Information System,2019,Fall,Interested,321,TOEFL,114,7.58,CGPA,38
deepthia,University of Arizona,Management Information System,2019,Spring,Interested, ,IELTS,7.5,0.6,%,0
HetPatel,Illinois Institute of Technology,Management Information System,2018,Fall,Applied,289,IELTS,6,7.3,CGPA,2
Tejas patel,Illinois Institute of Technology,Management Information System,2018,Fall,Applied,307,IELTS,7,8.43,CGPA,0
yashhhhh,Illinois Institute of Technology,Management Information System,2018,Fall,Applied,298,TOEFL,91,5.39,CGPA,3
SwetaC,Illinois Institute of Technology,Management Information System,2018,Fall,Applied,303,TOEFL,94,0.8,%,38
Chekulka,Illinois Institute of Technology,Management Information System,2018,Fall,Applied,289,TOEFL,92,0.66,%,90
Vighu123,Illinois Institute of Technology,Management Information System,2018,Fall,Applied,309,TOEFL,108,0.6,%,14
Sujan r,Illinois Institute of Technology,Management Information System,2017,Fall,Applied,293,TOEFL,77,0.62,%,14
sanap92,Illinois Institute of Technology,Management Information System,2017,Fall,Applied,309,TOEFL,99,0.59,%,24
chetanmj23,Illinois Institute of Technology,Management Information System,2017,Fall,Applied,304,TOEFL,92,0.61,%,37
SrinivasRaju,Illinois Institute of Technology,Management Information System,2017,Fall,Applied,300,IELTS,7,0.73,%,48
kshitijsale,Illinois Institute of Technology,Management Information System,2017,Fall,Applied,302,TOEFL,100,0.6,%,18
Harsh7,Illinois Institute of Technology,Management Information System,2017,Fall,Applied,314,TOEFL,108,0.6,%,21
Oja,Illinois Institute of Technology,Management Information System,2017,Fall,Applied,303,TOEFL,84,0.64,%,17
RohanGupta,Illinois Institute of Technology,Management Information System,2017,Fall,Applied,310,TOEFL,98,7.45,CGPA,29
hardikbsjain,Illinois Institute of Technology,Management Information System,2017,Fall,Applied,315,TOEFL,105,6.45,CGPA,7
narreddinishitha,Illinois Institute of Technology,Management Information System,2017,Fall,Applied,297,IELTS,7,6.5,CGPA,15
ankit11,Illinois Institute of Technology,Management Information System,2017,Spring,Applied,301,TOEFL,83,0.56,%,60
VAIBHAVRAJ,Illinois Institute of Technology,Management Information System,2018,Fall,Admit,299,TOEFL,84,8.64,CGPA,67
arunpratap4554,Illinois Institute of Technology,Management Information System,2018,Fall,Admit,293,TOEFL,93,0.56,%,8
Srihari48,Illinois Institute of Technology,Management Information System,2018,Fall,Admit,300,IELTS,7,0.81,%,36
shruti7,Illinois Institute of Technology,Management Information System,2018,Fall,Admit,303,TOEFL,91,7.7,CGPA,1
Bhanu Chander,Illinois Institute of Technology,Management Information System,2018,Fall,Admit,305,IELTS,6,0.69,%,26
vasant,Illinois Institute of Technology,Management Information System,2018,Fall,Admit,296,TOEFL,93,7,CGPA,34
ReemaM,Illinois Institute of Technology,Management Information System,2018,Fall,Admit,291,IELTS,6.5,0.67,%,27
Bhavesh14,Illinois Institute of Technology,Management Information System,2018,Fall,Admit,294,TOEFL,93,0.54,%,35
Aman0098,Illinois Institute of Technology,Management Information System,2018,Fall,Admit,306,TOEFL,0,8.04,CGPA,40
vichemb,Illinois Institute of Technology,Management Information System,2018,Fall,Admit,296,TOEFL,100,6.2,CGPA,0
rohan1234,Illinois Institute of Technology,Management Information System,2018,Fall,Admit,295,IELTS,7.5,7.51,CGPA,32
ArthiAbilasha,Illinois Institute of Technology,Management Information System,2018,Fall,Admit,302,IELTS,0,7.3,CGPA,1
Lu3fer,Illinois Institute of Technology,Management Information System,2018,Fall,Admit,311,IELTS,7.5,6.12,CGPA,18
Saachi,Illinois Institute of Technology,Management Information System,2018,Fall,Admit,299,IELTS,0,8.1,CGPA,5
Anks123,Illinois Institute of Technology,Management Information System,2018,Fall,Admit,306,TOEFL,99,0.65,%,0
Akhild17,Illinois Institute of Technology,Management Information System,2018,Fall,Admit,300,TOEFL,88,0.6,%,29
Prabhus165,Illinois Institute of Technology,Management Information System,2018,Fall,Admit,302,TOEFL,92,0.66,%,24
jagadeesh1099,Illinois Institute of Technology,Management Information System,2018,Fall,Admit,307,IELTS,6,6.9,CGPA,26
Rishabh0009,Illinois Institute of Technology,Management Information System,2018,Fall,Admit,305,TOEFL,0,0.65,%,30
Rahul33,Illinois Institute of Technology,Management Information System,2018,Fall,Admit,304,IELTS,7.5,0.63,%,4
ChinmayArolkar,Illinois Institute of Technology,Management Information System,2018,Fall,Reject,298,TOEFL,82,6.22,CGPA,0
varadjoshi,Illinois Institute of Technology,Management Information System,2018,Fall,Reject,300,IELTS,6.5,6.27,CGPA,0
sanket1610,Illinois Institute of Technology,Management Information System,2017,Fall,Reject,308,IELTS,0,5.64,CGPA,0
Glary-1994,Illinois Institute of Technology,Management Information System,2018,Fall,Reject,289,TOEFL,81,6.12,CGPA,8
rohanganu,Illinois Institute of Technology,Management Information System,2018,Fall,Reject,306,TOEFL,104,0.58,%,5
drish1234,Illinois Institute of Technology,Management Information System,2018,Fall,Reject,300,TOEFL,92,6,CGPA,12
AdityaShri1995,Illinois Institute of Technology,Management Information System,2018,Fall,Reject,296,TOEFL,90,5.67,CGPA,8
Abhiraj29,Illinois Institute of Technology,Management Information System,2018,Fall,Reject,290,IELTS,7.5,7,CGPA,48
Jayeshiyer,Illinois Institute of Technology,Management Information System,2018,Fall,Reject,307,IELTS,7,0.54,%,31
anish_sridhar,Illinois Institute of Technology,Management Information System,2018,Fall,Reject,304,TOEFL,99,6.49,CGPA,0
fcb123,Illinois Institute of Technology,Management Information System,2018,Spring,Reject,299,IELTS,6.5,5.46,CGPA,2
anusha0998,Illinois Institute of Technology,Management Information System,2018,Spring,Reject,297,IELTS,6,0.59,%,12
yashnasree,Illinois Institute of Technology,Management Information System,2018,Spring,Reject,297,IELTS,7.5,7.97,CGPA,0
sashankmadhu,Illinois Institute of Technology,Management Information System,2018,Spring,Reject,293,IELTS,7,6.1,CGPA,0
sagar-maniyar,Illinois Institute of Technology,Management Information System,2017,Fall,Reject,286,IELTS,7,0.58,%,30
Akashsharma,Illinois Institute of Technology,Management Information System,2017,Fall,Reject,292,TOEFL,80,0.58,%,55
ezhilarasanelec,Illinois Institute of Technology,Management Information System,2017,Fall,Reject,302,TOEFL,99,6.7,CGPA,22
ayushp47,Illinois Institute of Technology,Management Information System,2017,Fall,Reject,306,TOEFL,103,0.52,%,1
Riazudeen,Illinois Institute of Technology,Management Information System,2017,Fall,Reject,305,TOEFL,90,6.89,CGPA,19
Sid250594,Illinois Institute of Technology,Management Information System,2017,Fall,Reject,300,TOEFL,90,0.55,%,4
Arpi99,Illinois Institute of Technology,Management Information System,2019,Spring,Interested,281,IELTS,6.5,0.74,%,60
SakshiMsUs,Illinois Institute of Technology,Management Information System,2018,Spring,Interested,304,TOEFL,95,0.67,%,35
kanulp26,Illinois Institute of Technology,Management Information System,2019,Spring,Interested,307,IELTS,6.5,8.4,CGPA,6
Sravya999,Illinois Institute of Technology,Management Information System,2019,Spring,Interested,296,IELTS,6.5,8.34,CGPA,0
Venkateshsivakumar,Illinois Institute of Technology,Management Information System,2019,Spring,Interested,296,TOEFL,81,7.37,CGPA,43
SatyaV,Illinois Institute of Technology,Management Information System,2019,Spring,Interested, ,IELTS,7,6.5,CGPA,22
bhanureddy27,Illinois Institute of Technology,Management Information System,2019,Spring,Interested,299,IELTS,7,7.8,CGPA,18
Sudhakar17,Illinois Institute of Technology,Management Information System,2019,Spring,Interested,331,IELTS,7,0.65,%,15
nidhipriya1993,Illinois Institute of Technology,Management Information System,2019,Spring,Interested,298,TOEFL,90,9.12,CGPA,24
AbhaAshapure,Illinois Institute of Technology,Management Information System,2018,Fall,Interested,300,TOEFL,83,0.68,%,12
rohinik,Illinois Institute of Technology,Management Information System,2019,Fall,Interested,296,TOEFL,100,8.05,CGPA,48
vvinayak21,Illinois Institute of Technology,Management Information System,2018,Fall,Interested, ,IELTS,7,0.51,%,13
Roshith567,Illinois Institute of Technology,Management Information System,2018,Fall,Interested,300,IELTS,7,6.6,CGPA,24
Pritha,Iowa State University,Management Information System,2018,Fall,Applied,309,IELTS,8,8,CGPA,2
supratik,Iowa State University,Management Information System,2018,Fall,Applied,307,IELTS,7,7.61,CGPA,37
Anshul,Iowa State University,Management Information System,2017,Fall,Applied,311,TOEFL,85,7.3,CGPA,19
ashish01at,Iowa State University,Management Information System,2017,Fall,Applied,318,TOEFL,104,7.76,CGPA,37
NayanK,Iowa State University,Management Information System,2017,Fall,Applied,317,TOEFL,102,0.78,%,21
bhavana1992,Iowa State University,Management Information System,2017,Spring,Applied,309,TOEFL,105,0.62,%,24
ayansri,Iowa State University,Management Information System,2016,Fall,Applied,299,TOEFL,86,0.6,%,18
gaily,Iowa State University,Management Information System,2016,Fall,Applied,318,TOEFL,101,8.3,CGPA,3
priyankad23,Iowa State University,Management Information System,2016,Fall,Applied,315,TOEFL,107,7.71,CGPA,0
anjana24,Iowa State University,Management Information System,2016,Fall,Applied,305,TOEFL,108,7.78,CGPA,0
prernastu,Iowa State University,Management Information System,2015,Fall,Applied,310,TOEFL,95,8,CGPA,30
lavinakh,Iowa State University,Management Information System,2016,Fall,Applied,311,TOEFL,100,0,%,0
kallurukranthi,Iowa State University,Management Information System,2016,Spring,Applied,300,TOEFL,100,0.65,%,0
varshinibalasundaram,Iowa State University,Management Information System,2016,Fall,Applied,303,IELTS,7,7.7,CGPA,30
jithu1,Iowa State University,Management Information System,2016,Spring,Applied,314,TOEFL,115,7,CGPA,0
chetas45,Iowa State University,Management Information System,2016,Fall,Applied,315,TOEFL,115,0.6,%,30
shailesh90,Iowa State University,Management Information System,2016,Spring,Applied,307,TOEFL,97,0.61,%,0
Triptha,Iowa State University,Management Information System,2018,Fall,Admit,309,IELTS,8,7.95,CGPA,3
nameeta,Iowa State University,Management Information System,2018,Fall,Admit,316,IELTS,8,8.87,CGPA,18
Karanghadge27,Iowa State University,Management Information System,2017,Fall,Admit,313,TOEFL,105,0.69,%,11
sarang131,Iowa State University,Management Information System,2018,Fall,Admit,311,IELTS,8,0.74,%,18
